类别,行政区,点评数,口味,环境,服务,人均消费,城市,经度,纬度
助餐,徐汇区,130,6.7,6.8,6.7,25,上海市,121.4495536,31.20323267
湘菜,徐汇区,1595,7.2,7.6,7.1,25,上海市,121.4495536,31.20323267
美食,浦东新区,0,0,0,0,25,上海市,121.4495523,31.21793859
啡厅,徐汇区,52,7.4,7.5,7.5,25,上海市,121.4495523,31.21793859
啡厅,徐汇区,2,6.9,6.9,6.9,25,上海市,121.4495536,31.20323267
美食,松江区,0,0,0,0,25,上海市,121.4495523,31.21793859
西餐,徐汇区,130,8.3,8.2,8.4,25,上海市,121.4495581,31.1389646
甜点,静安区,22,7.6,7.8,8.1,25,上海市,121.4495493,31.23014486
浙菜,闸北区,78,7.3,7,7.1,25,上海市,121.449545,31.25644796
龙虾,闸北区,4,7,7,7.1,25,上海市,121.4495331,31.27808166
海鲜,浦东新区,5,6.5,6.5,6.5,25,上海市,121.4495607,30.92299417
快餐,徐汇区,337,7.3,7.6,7.1,25,上海市,121.4495283,31.19419306
快餐,徐汇区,81,7,7.4,7.1,25,上海市,121.4495283,31.19419306
粤菜,静安区,590,8.4,7.5,8.4,25,上海市,121.4495259,31.22260933
火锅,静安区,12,7.3,7.5,7.5,25,上海市,121.4495259,31.22260933
西餐,静安区,652,8,9,7.8,25,上海市,121.4495259,31.22260933
火锅,静安区,12,7.3,7.5,7.5,25,上海市,121.4495259,31.22260933
西餐,静安区,652,8,9,7.8,25,上海市,121.4495259,31.22260933
快餐,闸北区,39,7.1,7,6.7,25,上海市,121.4495186,31.24906317
西餐,徐汇区,81,7.9,8.6,8.7,25,上海市,121.4495207,31.21256109
啡厅,静安区,57,7.3,7.2,7.1,25,上海市,121.4495122,31.22980393
啡厅,静安区,123,7.2,7.3,6.8,25,上海市,121.4495122,31.22980393
啡厅,静安区,57,7.3,7.2,7.1,25,上海市,121.4495122,31.22980393
啡厅,静安区,123,7.2,7.3,6.8,25,上海市,121.4495122,31.22980393
啡厅,静安区,57,7.3,7.2,7.1,25,上海市,121.4495122,31.22980393
川菜,徐汇区,163,7.5,7.3,7.5,25,上海市,121.4495169,31.12886294
湘菜,闸北区,43,6.4,6.4,6.4,25,上海市,121.4494778,31.25647081
快餐,静安区,42,7.4,7.3,6.9,25,上海市,121.4494779,31.22061516
快餐,闸北区,68,7.4,7.1,7,25,上海市,121.4494733,31.25086427
美食,徐汇区,4,7.7,7.5,7.5,25,上海市,121.4494807,31.14192485
美食,宝山区,10,6.6,6.5,6.5,25,上海市,121.4494565,31.3983242
甜点,闸北区,26,6.9,6.8,6.7,25,上海市,121.4494601,31.31021562
美食,闵行区,8,7.5,7.6,7.6,25,上海市,121.4494792,31.04306015
快餐,闸北区,6,7.5,7.4,7.3,25,上海市,121.4494514,31.24904504
火锅,徐汇区,955,8.8,7.7,7.6,25,上海市,121.449444,31.21836316
火锅,徐汇区,955,8.8,7.7,7.6,25,上海市,121.449444,31.21836316
川菜,宝山区,0,0,0,0,25,上海市,121.4494283,31.39924688
美食,静安区,0,0,0,0,25,上海市,121.4494388,31.22060508
本菜,闸北区,3129,9,8.8,9.1,25,上海市,121.449427,31.27622221
甜点,徐汇区,4,7.1,7.1,7.1,25,上海市,121.4494328,31.19721036
粤菜,闸北区,2926,7.1,7.1,6.8,25,上海市,121.4494263,31.27263372
粤菜,闸北区,2926,7.1,7.1,6.8,25,上海市,121.4494263,31.27263372
快餐,闸北区,445,7.2,7.4,7,25,上海市,121.4494263,31.27263372
蟹宴,卢湾区,0,0,0,0,25,上海市,121.4494264,31.21360739
甜点,徐汇区,0,0,0,0,25,上海市,121.4494264,31.21360739
美食,卢湾区,5,7.2,7.2,7.2,25,上海市,121.4494264,31.21360739
美食,卢湾区,0,0,0,0,25,上海市,121.4494264,31.21360739
蟹宴,卢湾区,0,0,0,0,25,上海市,121.4494264,31.21360739
甜点,徐汇区,0,0,0,0,25,上海市,121.4494264,31.21360739
火锅,徐汇区,0,0,0,0,25,上海市,121.4494264,31.21360739
快餐,徐汇区,0,0,0,0,25,上海市,121.4494264,31.21360739
火锅,徐汇区,0,0,0,0,25,上海市,121.4494264,31.21360739
快餐,徐汇区,73,6,6.1,6,25,上海市,121.4494222,31.1922258
本菜,宝山区,0,0,0,0,25,上海市,121.4494061,31.33238126
快餐,闸北区,1,7.1,7.1,7.1,25,上海市,121.4494105,31.25783806
快餐,闸北区,1,7.1,7.1,7.1,25,上海市,121.4494105,31.25783806
本菜,闸北区,14,7.7,7.8,8,25,上海市,121.4493967,31.30094308
海鲜,闸北区,1,6.9,6.9,6.9,25,上海市,121.4494,31.26308875
快餐,宝山区,0,0,0,0,25,上海市,121.4493793,31.39834103
甜点,闸北区,16,7.4,7.2,7.3,25,上海市,121.4493837,31.31277247
快餐,徐汇区,6,7.3,7.3,7.6,25,上海市,121.4493863,31.21351634
西餐,徐汇区,143,8.3,8.4,8.7,25,上海市,121.4493863,31.21351634
西餐,徐汇区,143,8.3,8.4,8.7,25,上海市,121.4493863,31.21351634
快餐,闵行区,0,0,0,0,25,上海市,121.449393,31.04304097
蟹宴,闸北区,4,7,7,6.9,25,上海市,121.4493711,31.27254764
蟹宴,闸北区,4,7,7,6.9,25,上海市,121.4493711,31.27254764
甜点,宝山区,20,7.4,7.5,7.4,25,上海市,121.4493562,31.39852293
美食,闵行区,0,0,0,0,25,上海市,121.4493847,31.04541258
粤菜,徐汇区,106,7.2,7,6.8,25,上海市,121.4493699,31.19436963
浙菜,宝山区,8,6.9,6.9,6.7,25,上海市,121.4493421,31.3992127
北菜,徐汇区,159,6.5,6.2,6.2,25,上海市,121.4493576,31.1968014
北菜,徐汇区,159,6.5,6.2,6.2,25,上海市,121.4493576,31.1968014
西餐,徐汇区,4,7.4,7.4,7.4,25,上海市,121.4493571,31.17987585
粤菜,静安区,3,7,7,7,25,上海市,121.4493507,31.23071016
粤菜,静安区,3,7,7,7,25,上海市,121.4493507,31.23071016
浙菜,宝山区,17,6.3,6.7,6.5,25,上海市,121.4493354,31.39562371
海鲜,宝山区,44,7.3,7.3,7.2,25,上海市,121.4493354,31.39562371
美食,静安区,2,6.9,6.9,6.9,25,上海市,121.4493461,31.21402901
火锅,闵行区,5,7.2,7.1,7.2,25,上海市,121.4493569,31.0430359
快餐,闸北区,455,7.6,7.4,7.4,25,上海市,121.4493357,31.27619302
快餐,闸北区,455,7.6,7.4,7.4,25,上海市,121.4493357,31.27619302
本菜,徐汇区,9,7.1,7.2,7.4,25,上海市,121.4493311,31.12148855
甜点,徐汇区,172,7.6,7.3,7.4,25,上海市,121.4493311,31.12148855
常菜,宝山区,0,0,0,0,25,上海市,121.449297,31.39929958
浙菜,闸北区,19,7.1,6.7,7.1,25,上海市,121.4493054,31.25649042
美食,徐汇区,0,0,0,0,25,上海市,121.4493095,31.19678031
快餐,宝山区,2,7.3,7.3,7.3,25,上海市,121.4492889,31.34253642
甜点,徐汇区,18,7,7.1,7.1,25,上海市,121.4493031,31.12007526
甜点,闸北区,71,8.1,8.1,8.7,25,上海市,121.4492846,31.27625789
啡厅,静安区,223,8.5,8.7,8.9,25,上海市,121.4492821,31.23503902
啡厅,静安区,223,8.5,8.7,8.9,25,上海市,121.4492821,31.23503902
川菜,闸北区,32,7.2,6.5,6.5,25,上海市,121.4492664,31.27797813
浙菜,徐汇区,0,0,0,0,25,上海市,121.4492782,31.10699739
快餐,徐汇区,124,6.8,6.5,6.5,25,上海市,121.4492654,31.19714203
本菜,静安区,4,6.9,6.9,6.9,25,上海市,121.4492608,31.23821152
火锅,徐汇区,0,0,0,0,25,上海市,121.4492673,31.15166523
助餐,徐汇区,83,6.3,6.7,6.6,25,上海市,121.4492636,31.19453831
美食,徐汇区,22,7.7,7.8,7.5,25,上海市,121.4492621,31.19966379
快餐,徐汇区,21,7,7,7,25,上海市,121.4492621,31.19966379
北菜,徐汇区,4,6.8,6.8,7,25,上海市,121.4492621,31.19966379
浙菜,浦东新区,34,7.3,7.2,7.3,25,上海市,121.4492829,30.92356123
粤菜,徐汇区,207,7.2,6.7,6.9,25,上海市,121.4492504,31.19680916
甜点,静安区,979,8,7.9,8.1,25,上海市,121.4492454,31.23092084
甜点,静安区,979,8,7.9,8.1,25,上海市,121.4492454,31.23092084
甜点,静安区,979,8,7.9,8.1,25,上海市,121.4492454,31.23092084
快餐,闵行区,0,0,0,0,25,上海市,121.4492474,31.10319943
烧烤,宝山区,18,6.7,6.5,6.6,25,上海市,121.4492208,31.39878456
快餐,闸北区,1265,7.1,6.1,6.1,25,上海市,121.4492243,31.31250523
快餐,闸北区,305,7.6,7.6,7.4,25,上海市,121.4492258,31.27254432
快餐,闸北区,218,7,7,6.9,25,上海市,121.4492258,31.27254432
甜点,闸北区,10,7.5,7.6,7.6,25,上海市,121.4492258,31.27254432
快餐,静安区,1,7.2,7.2,7.2,25,上海市,121.4492257,31.23803852
快餐,宝山区,0,0,0,0,25,上海市,121.4492115,31.33242982
浙菜,宝山区,1,6.9,6.9,6.9,25,上海市,121.4492038,31.39882751
美食,闸北区,7,7.2,7,7.1,25,上海市,121.4492059,31.28242415
常菜,闸北区,1,6.9,6.9,6.9,25,上海市,121.4491989,31.25799553
火锅,徐汇区,31,7,6.9,7,25,上海市,121.4492061,31.12884528
西餐,徐汇区,299,8.6,9.1,8.2,25,上海市,121.4491949,31.21238347
西餐,徐汇区,74,7.3,7.7,7.4,25,上海市,121.4491949,31.21238347
西餐,徐汇区,971,0,0,0,25,上海市,121.4491949,31.21238347
西餐,徐汇区,74,7.3,7.7,7.4,25,上海市,121.4491949,31.21238347
西餐,徐汇区,299,8.6,9.1,8.2,25,上海市,121.4491949,31.21238347
西餐,徐汇区,971,0,0,0,25,上海市,121.4491949,31.21238347
川菜,静安区,1,6.9,6.9,6.9,25,上海市,121.4491896,31.23817838
助餐,宝山区,52,7.4,7.3,7.5,25,上海市,121.4491757,31.39889143
浙菜,宝山区,2,6.9,6.9,6.9,25,上海市,121.449169,31.39557336
啡厅,静安区,71,7.8,7.7,7.9,25,上海市,121.4491782,31.23104463
快餐,闵行区,25,7.6,7.6,7.3,25,上海市,121.449145,31.4398029
浙菜,宝山区,0,0,0,0,25,上海市,121.4491443,31.37935009
快餐,闸北区,20,7.4,7.2,7.3,25,上海市,121.4491476,31.27251917
啡厅,闸北区,123,7.3,7.2,7,25,上海市,121.4491488,31.24636858
啡厅,闸北区,123,7.3,7.2,7,25,上海市,121.4491488,31.24636858
啡厅,静安区,0,0,0,0,25,上海市,121.4491346,31.23675491
火锅,宝山区,45,7.5,7,7.6,25,上海市,121.4491227,31.32844907
美食,徐汇区,0,0,0,0,25,上海市,121.4491302,31.2183165
快餐,宝山区,2,7,7,7,25,上海市,121.4491186,31.34013689
火锅,闵行区,1,0,0,0,25,上海市,121.4491428,31.03728877
快餐,闸北区,109,7.9,7.9,7.7,25,上海市,121.449116,31.27783986
快餐,闸北区,7,7.1,7.2,7.4,25,上海市,121.449108,31.30101943
海鲜,宝山区,1,6.8,6.8,6.8,25,上海市,121.4491009,31.35977219
海鲜,宝山区,0,0,0,0,25,上海市,121.4491009,31.35977219
海鲜,宝山区,0,0,0,0,25,上海市,121.4491009,31.35977219
海鲜,宝山区,0,0,0,0,25,上海市,121.4491009,31.35977219
海鲜,宝山区,0,0,0,0,25,上海市,121.4491009,31.35977219
浙菜,闸北区,1,7,7,7,25,上海市,121.449106,31.27811372
湘菜,闸北区,0,0,0,0,25,上海市,121.449106,31.27811372
快餐,闸北区,12,6.6,6.6,6.6,25,上海市,121.449106,31.27811372
快餐,闸北区,32,6.6,6.6,6.6,25,上海市,121.449106,31.27811372
湘菜,静安区,566,9.1,8.2,8.7,25,上海市,121.449104,31.23151626
甜点,静安区,167,7.5,7.5,7.6,25,上海市,121.449104,31.23151626
美食,闵行区,2,7,7,7,25,上海市,121.449114,31.03355589
啡厅,闵行区,2,6.9,7,6.9,25,上海市,121.449114,31.03355589
甜点,闵行区,8,7.1,7.1,7.4,25,上海市,121.449114,31.03355589
美食,宝山区,0,0,0,0,25,上海市,121.4490824,31.39910217
快餐,徐汇区,172,8.6,9,9.1,25,上海市,121.4490867,31.21160661
快餐,徐汇区,172,8.6,9,9.1,25,上海市,121.4490867,31.21160661
甜点,闸北区,782,6.9,6.7,6.6,25,上海市,121.4490814,31.27249603
甜点,闸北区,782,6.9,6.7,6.6,25,上海市,121.4490814,31.27249603
,,,,,,25,,,
西餐,徐汇区,59,9.1,9.2,9.1,25,上海市,121.4490821,31.21817146
西餐,徐汇区,335,8.2,8.2,8.5,25,上海市,121.4490821,31.21817146
西餐,徐汇区,0,0,0,0,25,上海市,121.4490821,31.21817146
啡厅,徐汇区,1840,8.1,8.2,7.9,25,上海市,121.4490821,31.21817146
啡厅,徐汇区,1840,8.1,8.2,7.9,25,上海市,121.4490821,31.21817146
快餐,闸北区,6,7,6.7,7,25,上海市,121.4490759,31.27813565
常菜,徐汇区,0,0,0,0,25,上海市,121.4490888,31.10519998
甜点,徐汇区,69,7.6,7.7,7.6,25,上海市,121.4490775,31.20148749
美食,徐汇区,1,7.3,7.3,7.3,25,上海市,121.4490731,31.21809148
川菜,闸北区,9,6.4,6.5,6.4,25,上海市,121.4490694,31.24912917
湘菜,闸北区,0,0,0,0,25,上海市,121.4490694,31.24912917
火锅,闸北区,3,6.8,6.6,6.6,25,上海市,121.4490694,31.24912917
快餐,闸北区,19,7.8,7.4,7.7,25,上海市,121.4490694,31.24912917
快餐,闸北区,97,7.5,7.4,7.4,25,上海市,121.4490694,31.24912917
快餐,闸北区,3,7,6.8,7.1,25,上海市,121.4490694,31.24912917
快餐,闸北区,8,6.7,6.9,6.9,25,上海市,121.4490694,31.24912917
快餐,闸北区,298,6.3,6.3,6.4,25,上海市,121.4490694,31.24912917
快餐,闸北区,298,6.3,6.3,6.4,25,上海市,121.4490694,31.24912917
快餐,闸北区,6,6.6,6.6,6.6,25,上海市,121.4490694,31.24912917
快餐,闸北区,13,7.7,7.6,7.9,25,上海市,121.4490694,31.24912917
快餐,闸北区,60,6.1,6.2,6.2,25,上海市,121.4490694,31.24912917
快餐,闸北区,2,7.6,7.5,7.5,25,上海市,121.4490694,31.24912917
西餐,闸北区,5,6.7,6.7,6.7,25,上海市,121.4490694,31.24912917
甜点,闸北区,23,7.7,7.9,7.8,25,上海市,121.4490694,31.24912917
甜点,闸北区,10,7.5,7.5,7.5,25,上海市,121.4490694,31.24912917
甜点,闸北区,3,6.4,6.4,6.4,25,上海市,121.4490694,31.24912917
美食,闸北区,17,7,7.4,7,25,上海市,121.4490694,31.24912917
美食,闸北区,2,6.8,6.8,6.8,25,上海市,121.4490694,31.24912917
美食,闸北区,22,7.1,7.5,7.6,25,上海市,121.4490694,31.24912917
快餐,闸北区,60,6.1,6.2,6.2,25,上海市,121.4490694,31.24912917
甜点,闸北区,3,6.4,6.4,6.4,25,上海市,121.4490694,31.24912917
甜点,徐汇区,8,7.1,7.2,7.1,25,上海市,121.44907,31.18422304
甜点,宝山区,9,7.5,7.4,7.5,25,上海市,121.4490493,31.39917908
甜点,宝山区,9,7.5,7.4,7.5,25,上海市,121.4490493,31.39917908
美食,闸北区,245,7.5,7.2,7.2,25,上海市,121.4490539,31.27696109
川菜,闸北区,45,6.5,7,6.9,25,上海市,121.4490513,31.24916712
快餐,闸北区,9,7.6,7.4,7.4,25,上海市,121.4490513,31.24916712
快餐,闸北区,9,7.5,7.6,7.6,25,上海市,121.4490513,31.24916712
西餐,闸北区,6,7.1,7.1,7.3,25,上海市,121.4490513,31.24916712
甜点,闸北区,69,7.8,7.8,8.2,25,上海市,121.4490513,31.24916712
美食,徐汇区,0,0,0,0,25,上海市,121.4490628,31.10504301
粤菜,徐汇区,277,7.6,7.2,7.3,25,上海市,121.4490308,31.19666676
甜点,闸北区,10,6.9,6.8,6.8,25,上海市,121.4490084,31.27020485
甜点,闸北区,10,6.9,6.8,6.8,25,上海市,121.4490084,31.27020485
烧烤,徐汇区,0,0,0,0,25,上海市,121.4490053,31.17807501
亚菜,静安区,5304,8.2,8.4,7.9,25,上海市,121.4489967,31.23172693
西餐,静安区,1502,8.6,8,8.3,25,上海市,121.4489967,31.23172693
甜点,闸北区,33,7.1,7.6,7.6,25,上海市,121.4489839,31.27544158
蟹宴,闸北区,5,7.4,7.4,7.4,25,上海市,121.4489827,31.27806648
川菜,闸北区,126,6.7,6.5,6.6,25,上海市,121.4489827,31.27806648
甜点,闸北区,334,7.7,7.6,7.5,25,上海市,121.448983,31.27398319
美食,闸北区,15,7.3,7.4,7.3,25,上海市,121.448983,31.27398319
蟹宴,闸北区,5,7.4,7.4,7.4,25,上海市,121.4489827,31.27806648
川菜,闸北区,126,6.7,6.5,6.6,25,上海市,121.4489827,31.27806648
快餐,静安区,20,7.3,7.3,7.5,25,上海市,121.4489776,31.23284037
川菜,闸北区,2,7,6.9,6.9,25,上海市,121.4489563,31.31550351
快餐,闸北区,842,7.2,6.1,6.5,25,上海市,121.4489556,31.31279054
浙菜,徐汇区,424,8.4,9.2,8.6,25,上海市,121.4489617,31.21873394
川菜,静安区,4853,7.6,9,7.8,25,上海市,121.4489602,31.224963
西餐,静安区,1,7.1,7.1,7.1,25,上海市,121.4489536,31.23171784
啡厅,静安区,59,8.3,8.2,8.6,25,上海市,121.4489395,31.22027216
海鲜,徐汇区,30,7.5,7.5,7.1,25,上海市,121.4489461,31.1213398
川菜,闸北区,225,6.1,5.5,5.7,25,上海市,121.448929,31.27244772
美食,松江区,0,0,0,0,25,上海市,121.4489306,31.17255566
烧烤,松江区,1,6.9,6.9,6.9,25,上海市,121.4489306,31.17255566
浙菜,静安区,3311,7.5,8.1,7.5,25,上海市,121.4489247,31.22974569
浙菜,静安区,0,0,0,0,25,上海市,121.4489247,31.22974569
浙菜,静安区,0,0,0,0,25,上海市,121.4489247,31.22974569
川菜,静安区,2763,7.8,8,7.4,25,上海市,121.4489247,31.22974569
粤菜,静安区,4037,8.5,8.7,8.8,25,上海市,121.4489247,31.22974569
粤菜,静安区,38,9,9.1,9.1,25,上海市,121.4489247,31.22974569
本菜,静安区,243,8.9,8.8,8.9,25,上海市,121.4489247,31.22974569
本菜,静安区,41,8.5,8.5,8.6,25,上海市,121.4489247,31.22974569
亚菜,静安区,1346,8,8.9,8.3,25,上海市,121.4489247,31.22974569
西餐,静安区,717,8.1,8.6,8,25,上海市,121.4489247,31.22974569
甜点,静安区,800,8,7.7,7.9,25,上海市,121.4489247,31.22974569
甜点,静安区,1038,8.1,8,7.6,25,上海市,121.4489247,31.22974569
甜点,静安区,56,7.8,8.1,7.5,25,上海市,121.4489247,31.22974569
甜点,静安区,58,7.8,8.2,8.4,25,上海市,121.4489247,31.22974569
甜点,静安区,4,7.3,7.3,7.3,25,上海市,121.4489247,31.22974569
甜点,静安区,0,0,0,0,25,上海市,121.4489247,31.22974569
美食,徐汇区,2260,8.3,8.8,8.7,25,上海市,121.4489165,31.20864967
啡厅,徐汇区,412,8,8.8,8.7,25,上海市,121.4489165,31.20864967
啡厅,徐汇区,412,8,8.8,8.7,25,上海市,121.4489165,31.20864967
啡厅,徐汇区,412,8,8.8,8.7,25,上海市,121.4489165,31.20864967
啡厅,徐汇区,412,8,8.8,8.7,25,上海市,121.4489165,31.20864967
粤菜,闸北区,92,7,7,7,25,上海市,121.448908,31.24882496
助餐,闸北区,198,6.1,6.7,6.8,25,上海市,121.448908,31.24882496
助餐,闸北区,198,6.1,6.7,6.8,25,上海市,121.448908,31.24882496
助餐,闸北区,198,6.1,6.7,6.8,25,上海市,121.448908,31.24882496
海鲜,宝山区,0,0,0,0,25,上海市,121.4488934,31.3592709
烧烤,宝山区,21,7.1,7.3,7.1,25,上海市,121.4488849,31.39951263
烧烤,宝山区,21,7.1,7.3,7.1,25,上海市,121.4488849,31.39951263
川菜,闸北区,0,0,0,0,25,上海市,121.4488939,31.24953561
湾菜,闸北区,0,0,0,0,25,上海市,121.4488939,31.24953561
快餐,闸北区,1,7.7,7.7,7.7,25,上海市,121.4488939,31.24953561
快餐,闸北区,17,7.3,7.3,7.2,25,上海市,121.4488939,31.24953561
快餐,闸北区,3,7.2,7.2,7.2,25,上海市,121.4488939,31.24953561
甜点,闸北区,51,8.4,8.1,8.2,25,上海市,121.4488939,31.24953561
甜点,闸北区,5,7.8,7.8,7.8,25,上海市,121.4488939,31.24953561
美食,闸北区,6,6.4,6.4,6.5,25,上海市,121.4488939,31.24953561
美食,闸北区,0,0,0,0,25,上海市,121.4488939,31.24953561
美食,闸北区,0,0,0,0,25,上海市,121.4488939,31.24953561
甜点,闸北区,3,7,6.9,6.8,25,上海市,121.4488861,31.2466109
湾菜,闸北区,4725,7.3,7.4,7.2,25,上海市,121.4488776,31.27565026
湾菜,闸北区,4725,7.3,7.4,7.2,25,上海市,121.4488776,31.27565026
火锅,闸北区,7590,8.5,8.6,8.3,25,上海市,121.4488776,31.27565026
湾菜,闸北区,4725,7.3,7.4,7.2,25,上海市,121.4488776,31.27565026
快餐,闸北区,252,6.5,6,6.1,25,上海市,121.4488714,31.31250847
火锅,徐汇区,5,7.3,7.3,7.3,25,上海市,121.4488755,31.17228068
浙菜,宝山区,104,8.3,8.1,7.9,25,上海市,121.4488399,31.32846845
常菜,徐汇区,0,0,0,0,25,上海市,121.448851,31.11966351
蟹宴,徐汇区,0,0,0,0,25,上海市,121.4488339,31.21333923
啡厅,徐汇区,96,7.3,6.8,7.5,25,上海市,121.4488339,31.21333923
蟹宴,徐汇区,0,0,0,0,25,上海市,121.4488339,31.21333923
啡厅,徐汇区,96,7.3,6.8,7.5,25,上海市,121.4488339,31.21333923
甜点,徐汇区,5,7.6,7.6,7.6,25,上海市,121.4488408,31.12116666
甜点,静安区,0,0,0,0,25,上海市,121.4488321,31.22200111
西餐,闸北区,5,7.4,7.4,7.2,25,上海市,121.4488236,31.27395786
浙菜,宝山区,117,6.8,6.5,6.3,25,上海市,121.448817,31.337952
西餐,静安区,0,6.8,6.8,7.1,25,上海市,121.4488038,31.23640536
西餐,静安区,0,6.8,6.8,7.1,25,上海市,121.4488038,31.23640536
浙菜,宝山区,2,7.1,7.1,7.1,25,上海市,121.4487921,31.33702728
烧烤,闸北区,39,7.9,7.5,7.9,25,上海市,121.4487521,31.27726431
粤菜,徐汇区,10,6.8,6.8,6.8,25,上海市,121.4487452,31.19487103
快餐,静安区,37,6.6,6.4,6.5,25,上海市,121.4487411,31.23060989
快餐,静安区,37,6.6,6.4,6.5,25,上海市,121.4487411,31.23060989
啡厅,闸北区,2202,7.5,7.4,7.3,25,上海市,121.4487041,31.27576684
啡厅,闸北区,2202,7.5,7.4,7.3,25,上海市,121.4487041,31.27576684
啡厅,闸北区,2202,7.5,7.4,7.3,25,上海市,121.4487041,31.27576684
快餐,静安区,27,7.2,7,7,25,上海市,121.4487067,31.23484187
美食,闸北区,2410,7.5,7.4,7.2,25,上海市,121.4486938,31.26791215
美食,闸北区,2410,7.5,7.4,7.2,25,上海市,121.4486938,31.26791215
美食,宝山区,19,7.4,7.4,7.2,25,上海市,121.4486835,31.32844312
素菜,静安区,4238,8.9,9,9.1,25,上海市,121.4486879,31.23167229
西餐,静安区,2493,7.6,8.3,7.7,25,上海市,121.4486879,31.23167229
西餐,静安区,2493,7.6,8.3,7.7,25,上海市,121.4486879,31.23167229
西餐,静安区,2493,7.6,8.3,7.7,25,上海市,121.4486879,31.23167229
烧烤,静安区,0,0,0,0,25,上海市,121.4486863,31.23824926
海鲜,徐汇区,1,6.5,6.5,6.5,25,上海市,121.4486917,31.14180321
甜点,闵行区,357,8.7,8.7,8.5,25,上海市,121.4486992,31.04287757
啡厅,徐汇区,71,7.1,7.3,7.1,25,上海市,121.4486731,31.20556864
啡厅,徐汇区,71,7.1,7.3,7.1,25,上海市,121.4486731,31.20556864
湘菜,闸北区,5,6.8,6.7,6.7,25,上海市,121.4486647,31.25629713
西餐,静安区,226,8.8,8.2,8.6,25,上海市,121.4486659,31.23058774
美食,宝山区,73,6.5,6.4,6.4,25,上海市,121.4486524,31.32866798
快餐,静安区,559,8.1,7.9,7.8,25,上海市,121.4486586,31.23429501
粤菜,闸北区,387,8.2,9.1,8.5,25,上海市,121.4486245,31.24631148
川菜,闸北区,152,7.8,8,7.6,25,上海市,121.4486245,31.24631148
粤菜,闸北区,387,8.2,9.1,8.5,25,上海市,121.4486245,31.24631148
粤菜,闸北区,387,8.2,9.1,8.5,25,上海市,121.4486245,31.24631148
火锅,闸北区,169,8.9,9,8.9,25,上海市,121.4486245,31.24631148
助餐,闸北区,1627,7.7,9.1,8.7,25,上海市,121.4486245,31.24631148
本菜,闸北区,307,8.2,8.6,8.6,25,上海市,121.4486245,31.24631148
助餐,闸北区,1627,7.7,9.1,8.7,25,上海市,121.4486245,31.24631148
西餐,闸北区,260,7.8,8.9,8,25,上海市,121.4486245,31.24631148
西餐,闸北区,260,7.8,8.9,8,25,上海市,121.4486245,31.24631148
助餐,闸北区,1627,7.7,9.1,8.7,25,上海市,121.4486245,31.24631148
快餐,静安区,337,8.1,7.7,7.8,25,上海市,121.4486194,31.23571428
美食,静安区,60,8.2,8.7,8.8,25,上海市,121.4486114,31.2349826
浙菜,宝山区,0,0,0,0,25,上海市,121.4485978,31.37987775
快餐,闸北区,66,7.4,7.4,7.4,25,上海市,121.4486041,31.25056653
浙菜,静安区,3199,8,7.6,7.4,25,上海市,121.4485842,31.22483925
浙菜,宝山区,0,0,0,0,25,上海市,121.4485718,31.35694798
浙菜,宝山区,0,0,0,0,25,上海市,121.4485718,31.35694798
浙菜,宝山区,0,0,0,0,25,上海市,121.4485718,31.35694798
浙菜,宝山区,0,0,0,0,25,上海市,121.4485718,31.35694798
浙菜,宝山区,0,0,0,0,25,上海市,121.4485718,31.35694798
海鲜,宝山区,0,0,0,0,25,上海市,121.4485718,31.35694798
海鲜,宝山区,0,0,0,0,25,上海市,121.4485718,31.35694798
海鲜,宝山区,0,0,0,0,25,上海市,121.4485718,31.35694798
海鲜,宝山区,0,0,0,0,25,上海市,121.4485718,31.35694798
海鲜,宝山区,0,0,0,0,25,上海市,121.4485718,31.35694798
海鲜,宝山区,0,0,0,0,25,上海市,121.4485718,31.35694798
海鲜,宝山区,0,0,0,0,25,上海市,121.4485718,31.35694798
海鲜,宝山区,0,0,0,0,25,上海市,121.4485718,31.35694798
海鲜,宝山区,0,0,0,0,25,上海市,121.4485465,31.35933214
浙菜,静安区,1,6.9,6.9,6.9,25,上海市,121.448555,31.23791713
快餐,静安区,23,7.2,7,7,25,上海市,121.448555,31.23791713
啡厅,静安区,135,7.6,7.3,7.6,25,上海市,121.4485503,31.23508142
甜点,徐汇区,16,7.4,7.6,7.7,25,上海市,121.4485528,31.19447581
西餐,静安区,1429,8.1,9.1,8.4,25,上海市,121.4485421,31.23712347
西餐,静安区,34,8.3,8.1,8.4,25,上海市,121.4485421,31.23712347
啡厅,静安区,278,8,8,8.2,25,上海市,121.4485421,31.23712347
啡厅,静安区,278,8,8,8.2,25,上海市,121.4485421,31.23712347
啡厅,闸北区,340,8.3,8.4,8.6,25,上海市,121.4485247,31.27567649
啡厅,闸北区,0,0,0,0,25,上海市,121.4485247,31.27567649
啡厅,闸北区,340,8.3,8.4,8.6,25,上海市,121.4485247,31.27567649
川菜,闸北区,2,6.8,6.8,6.8,25,上海市,121.4485244,31.26780483
美食,闸北区,364,8.4,7.6,7.4,25,上海市,121.4485233,31.2572574
啡厅,静安区,208,7.4,7.5,7.6,25,上海市,121.4485121,31.23588697
啡厅,静安区,208,7.4,7.5,7.6,25,上海市,121.4485121,31.23588697
快餐,闸北区,842,7.1,6.6,6.4,25,上海市,121.4485074,31.27794351
甜点,宝山区,40,6.9,6.9,6.8,25,上海市,121.4484922,31.33781935
