类别,行政区,点评数,口味,环境,服务,人均消费,城市,经度,纬度
烧烤,浦东新区,2,7.5,7.5,7.5,753,上海市,121.8813048,30.89101289
烧烤,浦东新区,2,7.5,7.5,7.5,747,上海市,121.8813048,30.89101289
啡厅,浦东新区,4,6.8,6.9,6.9,746,上海市,121.8811938,30.88966461
川菜,浦东新区,7,7.4,7.2,7.4,746,上海市,121.8810137,30.88778558
本菜,浦东新区,2,7,7,7,741,上海市,121.8810137,30.88778558
本菜,浦东新区,0,0,0,0,741,上海市,121.8810137,30.88778558
浙菜,浦东新区,204,8.1,8.2,7.9,740,上海市,121.8795275,30.87985415
本菜,浦东新区,0,0,0,0,738,上海市,121.8744058,30.92664832
浙菜,浦东新区,284,8,7.5,7.9,737,上海市,121.8713902,30.98802894
湘菜,浦东新区,0,0,0,0,737,上海市,121.8692934,30.97986953
美食,浦东新区,4,7.4,7.3,7.3,732,上海市,121.8691031,30.97982934
粤菜,浦东新区,0,0,0,0,732,上海市,121.8662661,30.98075051
湾菜,浦东新区,0,0,0,0,732,上海市,121.8643952,30.98674266
粤菜,闵行区,0,0,0,0,732,上海市,121.8634567,30.98436887
常菜,浦东新区,0,0,0,0,730,上海市,121.8631164,30.93074525
常菜,浦东新区,0,0,0,0,730,上海市,121.8630042,30.93026339
美食,浦东新区,5,7.3,7,7,727,上海市,121.8629511,30.93039225
常菜,浦东新区,0,0,0,0,726,上海市,121.8626365,30.93053076
川菜,浦东新区,3,6.4,6.7,6.7,726,上海市,121.8626255,30.97877311
海鲜,浦东新区,3,7.3,7.3,7.2,726,上海市,121.8626255,30.97877311
美食,浦东新区,15,7.4,7.3,7.3,724,上海市,121.8622842,30.98683488
火锅,青浦区,5,7.4,7.3,7.4,724,上海市,121.8587874,30.98583469
北菜,浦东新区,0,0,0,0,722,上海市,121.8562397,30.86891201
海鲜,浦东新区,31,6.9,7,6.9,722,上海市,121.8521552,30.87679719
本菜,浦东新区,0,0,0,0,722,上海市,121.8518951,30.87133096
素菜,浦东新区,0,0,0,0,717,上海市,121.8514145,30.86545461
快餐,浦东新区,0,0,0,0,717,上海市,121.8502489,30.87745477
海鲜,浦东新区,0,0,0,0,717,上海市,121.8478625,30.86488417
浙菜,浦东新区,80,7.1,7,7,714,上海市,121.8474779,30.86123264
浙菜,浦东新区,80,7.1,7,7,711,上海市,121.8474779,30.86123264
海鲜,浦东新区,7,7.1,6.7,7.3,710,上海市,121.8469837,30.86259702
海鲜,浦东新区,2,6.9,6.7,6.7,707,上海市,121.8469277,30.86077098
海鲜,浦东新区,0,0,0,0,706,上海市,121.8469197,30.86080295
海鲜,浦东新区,42,7.4,7.1,7.2,703,上海市,121.8467471,30.86209292
常菜,浦东新区,0,0,0,0,703,上海市,121.846683,30.86261851
海鲜,浦东新区,0,0,0,0,700,上海市,121.8466721,30.86101042
海鲜,浦东新区,0,0,0,0,700,上海市,121.8466721,30.86101042
火锅,浦东新区,8,6.9,6.9,6.8,697,上海市,121.8465758,30.86149897
海鲜,浦东新区,39,7.8,7.5,7.7,697,上海市,121.8462187,30.86527019
海鲜,浦东新区,149,7.3,6.8,6.8,695,上海市,121.8455395,30.86028192
龙虾,浦东新区,0,0,0,0,695,上海市,121.8454451,30.86159401
快餐,宝山区,19,7.4,7.3,7.4,691,上海市,121.8454029,30.87495519
海鲜,浦东新区,136,7.5,7.2,7.5,691,上海市,121.8453672,30.85810089
海鲜,浦东新区,51,7.4,6.9,7,688,上海市,121.8452548,30.84774864
快餐,浦东新区,0,0,0,0,688,上海市,121.8451946,30.86140569
海鲜,浦东新区,0,0,0,0,688,上海市,121.8451676,30.85977758
海鲜,浦东新区,8,7.1,6.7,6.8,688,上海市,121.8450302,30.86113157
海鲜,浦东新区,6,7.1,7.2,7.4,685,上海市,121.8450272,30.86084073
美食,浦东新区,1,6.9,6.9,6.9,684,上海市,121.8450272,30.86084073
海鲜,浦东新区,42,6.8,6.8,6.8,684,上海市,121.8450142,30.86107257
海鲜,浦东新区,10,7,6.7,6.9,684,上海市,121.8450091,30.86112354
海鲜,浦东新区,2,7.4,7.1,7.1,684,上海市,121.8446546,30.85729714
浙菜,浦东新区,52,8.4,7.9,8.4,683,上海市,121.843505,30.88018988
西餐,浦东新区,14,8,8,8,683,上海市,121.8433905,30.85901896
海鲜,浦东新区,613,8.4,7.6,7.3,683,上海市,121.8433905,30.85901896
北菜,浦东新区,0,0,0,0,681,上海市,121.8363913,31.04326704
常菜,浦东新区,0,0,0,0,681,上海市,121.8351573,31.04216543
美食,浦东新区,6,7.3,7.1,7.2,681,上海市,121.8349998,31.04312658
粤菜,浦东新区,2,7.2,7.2,7.2,680,上海市,121.8345108,31.0406941
龙虾,宝山区,0,0,0,0,679,上海市,121.8335707,31.48291142
龙虾,宝山区,0,0,0,0,677,上海市,121.8335707,31.48291142
美食,浦东新区,5,7.1,7,7,676,上海市,121.8329046,31.04229521
西餐,黄浦区,0,0,0,0,676,上海市,121.8296091,31.48892202
海鲜,浦东新区,26,6.6,6.7,6.8,676,上海市,121.8294557,30.89777811
川菜,浦东新区,7,7,6.9,7,675,上海市,121.8264183,30.90623644
川菜,浦东新区,1,7.3,7.1,7.1,671,上海市,121.8248596,30.90215791
湘菜,浦东新区,1,6.9,6.9,6.9,669,上海市,121.8244786,30.90311863
湘菜,浦东新区,0,0,0,0,669,上海市,121.8237999,30.90260965
快餐,浦东新区,4,7,6.8,6.9,667,上海市,121.8237397,30.90266051
川菜,浦东新区,1,6.9,7,7,666,上海市,121.8234708,30.90523349
川菜,浦东新区,1,6.9,6.9,6.9,663,上海市,121.8233866,30.9051174
烧烤,浦东新区,1,7,7,7,661,上海市,121.8232967,30.90096867
烧烤,浦东新区,1,6.9,6.9,6.9,658,上海市,121.823079,30.90258331
常菜,浦东新区,1,7,7.1,7.1,658,上海市,121.8229116,30.90289481
海鲜,浦东新区,0,0,0,0,658,上海市,121.8228832,30.90662456
海鲜,浦东新区,0,0,0,0,658,上海市,121.8227159,30.90465241
烧烤,浦东新区,0,0,0,0,658,上海市,121.8221898,30.90172814
